,plot,Pass,Range,Rep,New_Pedigree,Old_Pedigree,Old_Source,Shared,LPlantL1.End.Angle,LPlantL1.End.Length,LPlantL1.Mid.Angle,LPlantL1.Mid.Length,LPlantL1.Stem.Angle,A1,N1,A2,N2,a,b,c,d,length,curled
111,MIH119_1112,3,5,1,Mo44_PHW65_0188/PHT69,Mo44_PHW65_0188/PHT69,WIPV17/30686,1.0,72,68.0,45.0,48.0,25.0,0.01770407437655419,2.144506920509559,-3.376048621325009e-07,5.097647751638111,33.941125496954285,64.67184310807043,33.94112549695428,21.013155617496423,86.86484116954936,0.0
112,MIH119_1113,3,6,1,Mo44_PHW65_0191/PHT69,Mo44_PHW65_0191/PHT69,WIPV17/30688,1.0,80,65.0,50.0,53.0,35.0,0.06231961365986161,1.702000517791175,-0.2226290184191133,1.467739914198172,40.60035548530583,64.01250394579353,34.06774331338658,11.287131548350471,87.63394464347685,0.0
113,MIH119_1114,4,6,1,Mo44_PHW65_0195/PHT69,Mo44_PHW65_0195/PHT69,WIPV17/30690,1.0,62,64.0,45.0,54.0,20.0,0.0017206897953551362,2.747477419454622,-2.340129061852428e-06,5.178972889988416,38.18376618407357,56.50864594297133,38.18376618407356,30.04618001829701,80.471178996137,0.0
115,MIH119_1116,6,6,1,Mo44_PHW65_0207/PHT69,Mo44_PHW65_0187/PHT69,WIPV17/30685,,65,58.0,42.0,52.0,15.0,0.00025529588653108113,3.360353640660038,-1.9278006917748395e-05,4.693181420063643,34.79479153066063,52.565851648125694,38.643530924824496,24.511859180960567,83.66557245634277,0.0
116,MIH119_1117,7,6,1,Mo44_PHW65_0210/PHT69,Mo44_PHW65_0210/PHT69,WIPV17/30694,1.0,78,63.0,53.0,53.0,33.0,0.015127976407000683,2.0434698262248423,-0.17468202536426633,1.5806481597851065,42.32768203250652,61.62329884622976,31.896196227058557,13.098436521518837,82.75966817376968,0.0
117,MIH119_1118,8,6,1,Mo44_PHW65_0214/PHT69,Mo44_PHW65_0230/PHT69,WIPV17/30702,,76,60.0,50.0,51.0,31.0,0.022824226854081076,1.9834110521720614,-0.10585016859302938,1.7446945712011714,39.068266599067876,58.21774357655979,32.7821680940135,14.515313735980063,80.4174613565755,0.0
118,MIH119_1119,9,6,1,Mo44_PHW65_0214/PHT69,Mo44_PHW65_0224/PHT69,WIPV17/30700,,48,62.0,37.0,58.0,23.0,0.08447742616063075,1.7752620917107391,-9.55416668213703e-06,5.442704872641593,34.90527134281881,46.074979179598444,46.32085958274298,41.48609759424921,73.30886376364884,0.0
119,MIH119_1120,10,6,1,Mo44_PHW65_0217/PHT69,Mo44_PHW65_0217/PHT69,WIPV17/30696,1.0,79,58.0,55.0,49.0,30.0,0.0030351484712168287,2.473624908405561,-0.13788016877696532,1.7074096375074586,40.138450170160596,56.93437663996451,28.105245381201257,11.0669217318396,76.49880234226754,0.0
120,MIH119_1121,11,6,1,Mo44_PHW65_0218/PHT69,Mo44_PHW65_0218/PHT69,WIPV17/30697,1.0,71,61.0,45.0,56.0,25.0,0.014840623979511584,2.144506920509559,-0.06698820633135459,1.9641890844357481,39.59797974644666,57.676633111558324,39.597979746446654,19.85965742188656,86.96012415408111,0.0
121,MIH119_1122,12,6,1,Mo44_PHW65_0220/PHT69,Mo44_PHW65_0220/PHT69,WIPV17/30698,1.0,66,63.0,45.0,57.0,22.0,0.004285038997211882,2.475086853416295,-0.0037181382770193677,2.9079708960676958,40.305086527633215,57.55336383148386,40.30508652763321,25.62440851377541,85.60311854335725,0.0
122,MIH119_1123,13,6,1,Mo44_PHW65_0220/PHT69,Mo44_PHW65_0223/PHT69,WIPV17/30699,,60,66.0,40.0,67.0,19.0,0.00534627134317596,2.436922276318827,-0.04980311912935226,2.233179516052289,43.066769848998135,57.15767664977295,51.32497768897153,32.99999999999999,96.20206063565476,0.0
123,MIH119_1124,14,6,1,Mo44_PHW65_0253/PHT69,Mo44_PHW65_0253/PHT69,WIPV17/30111,1.0,78,66.0,48.0,54.0,22.0,0.001413168194018536,2.7488624346933452,-0.004037824342048329,2.6978513651531926,40.12982057577929,64.55774164843118,36.13305274337834,13.722171593972115,94.12016105898016,0.0
124,MIH119_1125,15,6,1,Mo44_PHW65_0260/PHT69,Mo44_PHW65_0260/PHT69,WIPV17/30715,1.0,66,56.0,52.0,59.0,22.0,0.00018966032790729222,3.167966706981283,-1.9222828472687503,1.2677117650109102,46.492634462796595,51.158545627985646,36.32402704421384,22.77725201224481,78.78122968360118,0.0
125,MIH119_1126,16,6,1,Mo44_PHW65_0271/PHT69,Mo44_PHW65_0271/PHT69,WIPV17/30118,1.0,70,62.0,44.0,60.0,19.0,0.0012356890557768186,2.804563844244143,-0.046391577043923334,2.193381644264542,41.67950222753984,58.26094248872632,43.16038802031906,21.20524888619146,94.28659140513373,0.0
126,MIH119_1127,17,6,1,Mo44_PHW65_0288/PHT69,Mo44_PHW65_0288/PHT69,WIPV17/30721,1.0,74,63.0,54.0,58.0,22.0,6.89915756760388e-05,3.406664796638074,-0.08584795165991332,2.0178605376688825,46.92298567374695,60.55948684411409,34.09154463296344,17.365153416470946,86.18167379836162,0.0
128,MIH119_1129,19,6,1,Mo44_PHW65_0307/PHT69,Mo44_PHW65_0307/PHT69,WIPV17/30724,1.0,65,62.0,46.0,62.0,20.0,0.000874324262391938,2.8450961543003483,-0.1650384353261303,1.8882889145790585,44.59906762099637,56.1910827962723,43.06881896845783,26.202332227923364,88.6609434220588,0.0
129,MIH119_1130,20,6,1,Mo44_PHW65_0315/PHT69,Mo44_PHW65_0315/PHT69,WIPV17/30725,1.0,70,64.0,48.0,52.0,16.0,2.480288109310298e-05,3.873166125725802,-8.173037413216166e-06,4.652141654001537,38.6435309248245,60.14032773029814,34.79479153066063,21.889289172842798,86.40403650484497,0.0
130,MIH119_1131,21,6,1,Mo44_PHW65_0319/PHT69,Mo44_PHW65_0316/PHT69,WIPV17/30726,,61,51.0,44.0,54.0,22.0,0.006711442930967258,2.390163591016678,-0.7575870574349645,1.4929856693146302,37.511552004785855,44.605605064109184,38.84434921828716,24.72529063256319,73.63471300322115,0.0
131,MIH119_1132,22,6,1,Mo44_PHW65_0319/PHT69,Mo44_PHW65_0236/PHT69,WIPV17/30703,,84,56.0,45.0,44.0,24.0,0.013795732070087266,2.2460367739042155,-0.023067779821150856,2.1856978122300053,31.112698372208094,55.6932261406233,31.112698372208087,5.853593942988594,83.81642237138816,0.0
132,MIH119_1133,23,6,1,Mo44_PHW65_0319/PHT69,Mo44_PHW65_0281/PHT69,WIPV17/30720,,85,64.0,48.0,49.0,20.0,0.0005645156034264381,3.051382806256919,-0.0029360160011277616,2.7609002580360573,36.41409644839232,63.756460677871715,32.78739971158405,5.577967535850123,95.39095430345304,0.0
134,MIH119_1135,25,6,1,Mo44_PHW65_0319/PHT69,Mo44_PHW65_0237/PHT69,WIPV17/30704,,77,58.0,50.0,56.0,28.0,0.007895165177055241,2.241362521763501,-0.8154182612914266,1.2780959086188028,42.89848881466277,56.51346375754365,35.996106142446195,13.047161151944168,85.90946852493406,0.0
135,MIH119_1136,26,6,1,Mo44_PHW65_0324/PHT69,Mo44_PHW65_0324/PHT69,WIPV17/30131,1.0,50,75.0,40.0,70.0,15.0,0.00035674745024934587,3.1315624561659154,-4.18756082211255e-05,4.66615139069636,44.99513267805776,57.45333323392335,53.62311101832846,48.209070726490445,91.88567153895755,0.0
136,MIH119_1137,27,6,1,Mo44_PHW65_0328/PHT69,Mo44_PHW65_0328/PHT69,WIPV17/30732,1.0,72,58.0,55.0,54.0,28.0,0.0011763895107045864,2.6859557527115063,-0.3021499717090991,1.5747587505935183,44.23421039160556,55.161277945118904,30.973127562956485,17.92298567374695,75.0318152836615,0.0
137,MIH119_1138,28,6,1,Mo44_PHW65_0333/PHT69,Mo44_PHW65_0333/PHT69,WIPV17/30733,1.0,80,58.0,50.0,51.0,26.0,0.004227502546641151,2.443456969111836,-0.20353935691678635,1.6296012670589872,39.068266599067876,57.118849674708066,32.7821680940135,10.071594304681959,84.03298530827297,0.0
138,MIH119_1139,29,6,1,Mo44_PHW65_0336/PHT69,Mo44_PHW65_0336/PHT69,WIPV17/30734,1.0,85,63.0,55.0,52.0,28.0,0.0012536741178236365,2.6859557527115068,-0.22551971110165342,1.5583887833875574,42.595906303027576,62.760265979779966,29.825974690254395,5.4908117931024645,87.77903921716597,0.0
139,MIH119_1140,30,6,1,Mo44_PHW65_0336/PHT69,Mo44_PHW65_0350/PHT69,WIPV17/30738,,84,62.0,48.0,52.0,24.0,0.003824620723791063,2.4944765498646078,-0.09228610337138388,1.8258313904158583,38.6435309248245,61.660357512832945,34.79479153066063,6.480764722594515,93.4217612431936,0.0
140,MIH119_1141,30,7,1,Mo44_PHW65_0339/PHT69,Mo44_PHW65_0339/PHT69,WIPV17/30735,1.0,66,63.0,42.0,56.0,21.0,0.008471138585486012,2.3456327296063773,-0.0008747138560693283,3.271417230388627,37.47131395609606,57.55336383148386,41.61611022673407,25.62440851377541,87.80846359379132,0.0
141,MIH119_1142,29,7,1,Mo44_PHW65_0363/PHT69,Mo44_PHW65_0363/PHT69,WIPV17/30740,1.0,82,66.0,48.0,56.0,22.0,0.001326086499659958,2.748862434693345,-0.03926624377582177,2.0774484990436553,41.61611022673408,65.35769253694365,37.47131395609606,9.18542466336432,99.33484368665484,0.0
142,MIH119_1143,28,7,1,Mo44_PHW65_0396/PHT69,Mo44_PHW65_0396/PHT69,WIPV17/30745,1.0,71,60.0,46.0,58.0,21.0,0.0017140820379305255,2.6976486966147553,-0.1262069983424379,1.88382436312909,41.72170841964177,56.73111453595901,40.29018548662184,19.5340892674294,89.28712228376105,0.0
143,MIH119_1144,27,7,1,Mo44_PHW65_0397/PHT69,Mo44_PHW65_0397/PHT69,WIPV17/30146,1.0,82,52.0,44.0,56.0,18.0,0.0007579295050710667,2.9720844442586722,-0.7696771295774837,1.4841957185277153,38.90086874570385,51.49393957456166,40.28302881896446,7.237001249923403,96.99994842673917,0.0
145,MIH119_1146,25,7,1,Mo44_PHW65_0416/PHT69,Mo44_PHW65_0416/PHT69,WIPV17/30748,1.0,76,59.0,45.0,54.0,15.0,4.766799123608933e-05,3.7320508075688785,-0.0037090354634399126,2.975554775301216,38.18376618407357,57.24744785028379,38.18376618407356,14.273391840380397,94.11989956127988,0.0
146,MIH119_1147,24,7,1,Mo44_PHW65_0433/PHT69,Mo44_PHW65_0433/PHT69,WIPV17/30749,1.0,70,63.0,48.0,58.0,18.0,0.00010046778644893225,3.4181138530706128,-0.005935722128656601,2.8701422133726635,43.10239987768887,59.200635109512234,38.80957516881378,21.54726902951713,89.97964676204698,0.0
147,MIH119_1148,23,7,1,Mo44_PHW65_0435/PHT69,Mo44_PHW65_0435/PHT69,WIPV17/30750,1.0,50,76.0,35.0,76.0,25.0,0.21500465784328635,1.501599911483684,-0.025139146598386196,2.3403186329539634,43.59180916267951,58.21937767704233,62.255555365963374,48.85185833617698,98.41754865592594,0.0
148,MIH119_1149,22,7,1,Mo44_PHW65_0442/PHT69,Mo44_PHW65_0442/PHT69,WIPV17/30751,1.0,80,59.0,50.0,56.0,22.0,0.0005508733238810589,2.9496936495415684,-0.4823331848560523,1.461469931063838,42.89848881466277,58.10365742772027,35.996106142446195,10.245242482348889,91.17857696040737,0.0
149,MIH119_1150,21,7,1,Mo44_PHW65_0446/PHT69,Mo44_PHW65_0446/PHT69,WIPV17/30752,1.0,80,54.0,40.0,50.0,20.0,0.012849574022988504,2.3054072893322783,-0.065635060836968,1.9985181848877303,32.13938048432697,53.17961866265923,38.302222155948904,9.377001594014239,90.59512247493369,0.0
150,MIH119_1151,20,7,1,Mo44_PHW65_0475/PHT69,Mo44_PHW65_0475/PHT69,WIPV17/30156,1.0,82,63.0,45.0,48.0,23.0,0.008405454598533217,2.355852365823754,-0.0033898160390656547,2.662115426881683,33.941125496954285,62.38688833071893,33.94112549695428,8.767905360484123,91.97711657822964,0.0
151,MIH119_1152,19,7,1,MoG/PHT69,MoG/PHT69,,1.0,60,67.0,50.0,62.0,22.0,0.00045171877535455426,2.9496936495415684,-0.00040646683836287686,4.102116674741546,47.494755473376635,58.02370205355739,39.85283180056543,33.49999999999999,80.9255685397845,0.0
152,MIH119_1153,18,7,1,MoG/PHT69,MoG/PHT69,,1.0,66,65.0,50.0,61.0,21.0,0.00025702003055750136,3.104624251876729,-0.018286677239268925,2.58052772869074,46.72871103025766,59.380454746769054,39.2100441908789,26.43788179992701,85.99708765011948,0.0
153,MIH119_1154,17,7,1,OH43/B37,LH74/PHN82,,,48,65.0,47.0,64.0,18.0,0.00013404832353295485,3.300411524624828,0.0,0.0,46.80663690362691,48.304413656030626,43.6478950439999,43.49348941332578,123.71521285055488,1.0
154,MIH119_1155,16,7,1,OH43/B37,LH74/PHN82,,,60,64.0,35.0,62.0,20.0,0.052719138723582006,1.923804400163087,-0.0031850891181174415,2.9048991728310525,35.56173905376486,55.42562584220408,50.78742674591749,31.999999999999996,94.34960612561795,0.0
155,MIH119_1156,15,7,1,PHN11/PHT69,PHN11/PHT69,,1.0,55,68.0,48.0,70.0,24.0,0.002452784412048159,2.4944765498646073,-1.10973422028476,1.4994896911704267,52.020137783417596,55.70233901165144,46.839142445120075,39.003197671871135,83.602790566964,0.0
156,MIH119_1157,14,7,1,PHN11/PHT69,PHN11/PHT69,,1.0,80,59.0,50.0,57.0,31.0,0.020459391810252546,1.9834110521720616,-0.7297797519389125,1.3439006164955958,43.66453325778175,58.10365742772027,36.63889375213274,10.245242482348889,89.7154413512315,0.0
157,MIH119_1158,13,7,1,PHN11_PHW65_0001/PHT69,PHN11_PHW65_0001/PHT69,WIPV17/30757,1.0,72,59.0,45.0,62.0,20.0,0.0013516291697305046,2.747477419454622,-0.9434863013122478,1.316598088125377,43.84062043356595,56.11233446141406,43.840620433565945,18.232002668121897,95.74894119130083,0.0
158,MIH119_1159,12,7,1,PHN11_PHW65_0010/PHT69,PHN11_PHW65_0010/PHT69,WIPV17/30759,1.0,81,53.0,43.0,51.0,18.0,0.0014061580861493034,2.869986328773444,-0.13895788047447485,1.8636662204840224,34.78191636318742,52.3474820515423,37.299038782577696,8.291026647132236,90.73559094613519,0.0
159,MIH119_1160,11,7,1,PHN11_PHW65_0011/PHT69,PHN11_PHW65_0011/PHT69,WIPV17/30760,1.0,80,53.0,45.0,50.0,25.0,0.016895946627215983,2.144506920509559,-0.5297982328218049,1.3808650866413261,35.35533905932738,52.194810909647025,35.35533905932737,9.203353416347307,84.12634195918481,0.0
160,MIH119_1161,10,7,1,PHN11_PHW65_0016/PHT69,PHN11_PHW65_0016/PHT69,WIPV17/30762,1.0,76,50.0,42.0,51.0,20.0,0.006110077150617674,2.4738397800939342,-0.43402066980366816,1.5320628884576524,34.12566092430177,48.514786313799824,37.9003860993471,12.096094779983387,84.72001883554432,0.0
161,MIH119_1162,9,7,1,PHN11_PHW65_0017/PHT69,PHN11_PHW65_0017/PHT69,WIPV17/30763,1.0,88,54.0,54.0,52.0,31.0,0.005824253479977627,2.2906841901183754,-0.8449617598223057,1.4233115866655814,42.068883707497264,53.96710465903117,30.564833119208604,1.8845728219350524,86.04389085606729,0.0
162,MIH119_1163,8,7,1,PHN11_PHW65_0021/PHT69,PHN11_PHW65_0021/PHT69,WIPV17/30764,1.0,84,59.0,52.0,49.0,29.0,0.00654127292803246,2.3090758284363657,-0.2605642193205309,1.508189196209387,38.61252692672937,58.67679182672813,30.167412290957255,6.167179332791554,83.59548582721348,0.0
163,MIH119_1164,7,7,1,PHN11_PHW65_0021/PHT69,PHN11_PHW65_0022/PHT69,WIPV17/30765,,49,55.0,33.0,64.0,13.0,0.002463075260594195,2.8128933225119552,-0.7895385296765751,1.6379078993186609,34.85689824096174,41.50902691225246,53.67491634850713,36.0832465944779,88.5560044312584,0.0
164,MIH119_1165,6,7,1,PHN11_PHW65_0023/PHT69,PHN11_PHW65_0023/PHT69,WIPV17/30766,1.0,52,62.0,36.0,66.0,21.0,0.052533685031576766,1.8927079947417562,-0.2857157867984781,1.7219130943698775,38.79382665130323,48.856666723616755,53.39512162874653,38.17101147019081,87.43780540059569,0.0
165,MIH119_1166,5,7,1,PHN11_PHW65_0023/PHT69,PHN11_PHW65_0027/PHT69,WIPV17/30767,,78,68.0,49.0,58.0,17.0,2.5411007152282724e-05,3.7626855169802695,-0.0014398909745863785,3.1104728529205663,43.77315565292078,66.51403684989879,38.05142368144942,14.137994975607633,101.16456667508925,0.0
166,MIH119_1167,4,7,1,PHN11_PHW65_0048/PHT69,PHN11_PHW65_0048/PHT69,WIPV17/30772,1.0,80,52.0,45.0,51.0,20.0,0.0019014339114182622,2.7474774194546216,-0.4118352259380696,1.5395246933680864,36.062445840513924,51.21000315663482,36.062445840513924,9.029705238680377,86.78910744598534,0.0
167,MIH119_1168,3,7,1,PHN11_PHW65_0048/PHT69,PHN11_PHW65_0042/PHT69,WIPV17/30771,,71,49.0,45.0,52.0,27.0,0.031120349955341634,1.9626105055051506,-0.7842993784925658,1.4522538101701836,36.76955262170048,46.33041020436652,36.76955262170047,15.952839568400679,77.44003676386036,0.0
168,MIH119_1169,3,8,1,PHN11_PHW65_0049/PHT69,PHN11_PHW65_0049/PHT69,WIPV17/30773,1.0,70,83.0,50.0,56.0,26.0,0.0036936331382020336,2.4434569691118364,-9.224250435933082e-08,5.123006143707959,42.89848881466277,77.9944875252304,35.996106142446195,28.387671896030504,96.76272319642143,0.0
169,MIH119_1170,4,8,1,PHN11_PHW65_0056/PHT69,PHN11_PHW65_0056/PHT69,WIPV17/30776,1.0,88,54.0,45.0,48.0,25.0,0.01770407437655419,2.144506920509559,-0.5783414959791026,1.3396902448752885,33.941125496954285,53.96710465903117,33.94112549695428,1.8845728219350524,88.7074030598258,0.0
170,MIH119_1171,5,8,1,PHN11_PHW65_0058/PHT69,PHN11_PHW65_0058/PHT69,WIPV17/30778,1.0,70,57.0,46.0,53.0,15.0,2.8524715065249014e-05,3.864651743844149,-0.001928850075671572,3.32607486778944,38.12500941794851,53.56247938479678,36.81689363432685,19.495148169563116,85.4266900652147,0.0
171,MIH119_1172,6,8,1,PHN11_PHW65_0059/PHT69,PHN11_PHW65_0059/PHT69,WIPV17/30779,1.0,70,62.0,50.0,70.0,27.0,0.004057895986153938,2.3389481207989014,-2.908586188523065,1.3697882135401773,53.62311101832846,58.26094248872632,44.99513267805775,21.20524888619146,98.45470877376235,0.0
172,MIH119_1173,7,8,1,PHN11_PHW65_0062/PHT69,PHN11_PHW65_0062/PHT69,WIPV17/30781,1.0,65,53.0,20.0,56.0,9.0,0.05950649844302779,2.2980176178948652,-2.8760754989674486e-05,4.122614045639004,19.153128026237454,48.034312712942445,52.62278676401087,22.39876787225707,105.84680345850362,0.0
173,MIH119_1174,8,8,1,PHN11_PHW65_0064/PHT69,PHN11_PHW65_0064/PHT69,WIPV17/30183,1.0,87,61.0,56.0,58.0,20.0,4.5675716857783375e-06,4.07330278395353,-0.6668211772155727,1.481526234039381,48.084179208192424,60.916401620029006,32.43318840130331,3.1924933308195733,96.77439318226644,0.0
174,MIH119_1175,9,8,1,PHN11_PHW65_0065/PHT69,PHN11_PHW65_0065/PHT69,WIPV17/30784,1.0,75,59.0,48.0,55.0,27.0,0.011309061177491883,2.1796997891492684,-0.3627195428991457,1.4690195574499478,40.872965401256685,56.98962375105503,36.802183349737206,15.270323661048725,85.2740355487003,0.0
175,MIH119_1176,10,8,1,PHN11_PHW65_0066/PHT69,PHN11_PHW65_0066/PHT69,WIPV17/30785,,77,59.0,43.0,57.0,27.0,0.05136499933260801,1.830163904595815,-0.6621822099578267,1.285652878528975,38.87390652356241,57.48783382232888,41.68716099229272,13.272112206288034,93.30420370233219,0.0
176,MIH119_1177,11,8,1,PHN11_PHW65_0069/PHT69,PHN11_PHW65_0070/PHT69,WIPV17/30787,,83,48.0,50.0,57.0,15.0,1.8585149595997843e-06,4.447684957664333,-2.02527096364878,1.9710732546435947,43.66453325778175,47.64221527878345,36.63889375213274,5.849728483447079,96.10745546783714,0.0
177,MIH119_1178,12,8,1,PHN11_PHW65_0069/PHT69,PHN11_PHW65_0069/PHT69,WIPV17/30786,1.0,80,53.0,45.0,52.0,20.0,0.0018379955911197964,2.747477419454622,-0.4107489966777895,1.5374099461328128,36.76955262170048,52.194810909647025,36.76955262170047,9.203353416347307,88.48039099976478,0.0
178,MIH119_1179,13,8,1,PHN11_PHW65_0071/PHT69,PHN11_PHW65_0071/PHT69,WIPV17/30788,1.0,71,59.0,48.0,61.0,19.0,0.00018543420545530986,3.225452946449842,-0.7989923659114997,1.4050028560688057,45.33183435412105,55.78559596035969,40.81696698789035,19.208521112972246,91.36701848723904,0.0
179,MIH119_1180,14,8,1,PHN11_PHW65_0074/PHT69,PHN11_PHW65_0074/PHT69,WIPV17/30791,1.0,85,57.0,50.0,56.0,21.0,0.0003077063939904867,3.10462425187673,-0.750159369426753,1.4149285164898735,42.89848881466277,56.783097791229494,35.996106142446195,4.967877336616516,95.51110862994048,0.0
180,MIH119_1181,15,8,1,PHN11_PHW65_0075/PHT69,PHN11_PHW65_0075/PHT69,WIPV17/30792,1.0,82,66.0,50.0,62.0,21.0,0.000248373021533014,3.1046242518767295,-0.38634134701843725,1.5173940789785025,47.494755473376635,65.35769253694365,39.85283180056543,9.18542466336432,103.84377279190582,0.0
181,MIH119_1182,16,8,1,PHN11_PHW65_0076/PHT69,PHN11_PHW65_0080/PHT69,WIPV17/30796,,71,61.0,45.0,61.0,18.0,0.00040121034861565646,3.077683537175253,-0.13517715513828535,1.9231501172567076,43.1335136523794,57.676633111558324,43.13351365237939,19.85965742188656,95.50282477853077,0.0
182,MIH119_1183,17,8,1,PHN11_PHW65_0077/PHT69,PHN11_PHW65_0077/PHT69,WIPV17/30194,1.0,70,63.0,48.0,64.0,15.0,4.783065141631078e-06,4.144862332864391,-0.14182113680835604,2.041571792727818,47.56126883055323,59.200635109512234,42.82435880696693,21.54726902951713,97.76271901218435,0.0
183,MIH119_1184,18,8,1,PHN11_PHW65_0079/PHT69,PHN11_PHW65_0079/PHT69,WIPV17/30795,1.0,80,52.0,45.0,62.0,22.0,0.003785203885249028,2.475086853416295,-1.9868056323123457,1.43361246992357,43.84062043356595,51.21000315663482,43.840620433565945,9.029705238680377,102.08714576231768,0.0
184,MIH119_1185,19,8,1,PHN11_PHW65_0081/PHT69,PHN11_PHW65_0081/PHT69,WIPV17/30197,1.0,72,64.0,45.0,52.0,27.0,0.031120349955341634,1.9626105055051506,-0.002419839288323024,2.7832992121090028,36.76955262170048,60.867617042889826,36.76955262170047,19.777087639996633,85.86497016227648,0.0
185,MIH119_1186,20,8,1,PHN11_PHW65_0084/PHT69,PHN11_PHW65_0084/PHT69,WIPV17/30798,1.0,82,64.0,60.0,65.0,31.0,0.00029243168408219904,2.8826166214255275,-1.9607491166320306,1.2704571608038642,56.29165124598852,63.3771563994605,32.49999999999999,8.907078461444188,93.81520873033102,0.0
186,MIH119_1187,21,8,1,PHN11_PHW65_0086/PHT69,PHN11_PHW65_0086/PHT69,WIPV17/30799,1.0,75,63.0,40.0,58.0,25.0,0.06604601151696501,1.799454966056695,-0.09604388668700786,1.797319008464673,37.28168136181928,60.853327056211306,44.43057770090073,16.305599841458807,98.04718980066647,0.0
187,MIH119_1188,22,8,1,PHN11_PHW65_0087/PHT69,PHN11_PHW65_0087/PHT69,WIPV17/30800,1.0,74,55.0,45.0,57.0,22.0,0.004285038997211882,2.475086853416295,-0.5868220695970445,1.4847498357878819,40.305086527633215,52.86939327660754,40.30508652763321,15.160054569934953,89.51368654612241,0.0
188,MIH119_1189,23,8,1,PHN11_PHW65_0088/PHT69,PHN11_PHW65_0088/PHT69,WIPV17/30801,1.0,62,51.0,40.0,58.0,19.0,0.006577632308365736,2.436922276318827,-1.2435077293475663,1.368427516073344,37.28168136181928,45.030327235805274,44.43057770090073,23.94304970208043,84.1231854295915,0.0
189,MIH119_1190,24,8,1,PHN11_PHW65_0092/PHT69,PHN11_PHW65_0089/PHT69,WIPV17/30802,,45,62.0,35.0,56.0,11.0,0.00017129647243060783,3.602255502709445,-2.9305618186532633e-06,5.4642440371857415,32.120280435658586,43.84062043356595,45.87251448018354,43.840620433565945,74.8208205463696,0.0
190,MIH119_1191,25,8,1,PHN11_PHW65_0096/PHT69,PHN11_PHW65_0096/PHT69,WIPV17/30805,1.0,68,57.0,44.0,56.0,15.0,7.49737924686311e-05,3.6039995718789415,-0.013483758148444817,2.7499038100515723,38.90086874570385,52.84947971030688,40.28302881896446,21.352575824706985,88.16608253128719,0.0
191,MIH119_1192,26,8,1,PHN11_PHW65_0100/PHT69,PHN11_PHW65_0100/PHT69,WIPV17/30806,1.0,75,60.0,44.0,64.0,18.0,0.0005824569038389263,2.9720844442586722,-0.8819903187452461,1.3616082779122667,44.45813570937583,57.9555495773441,46.03774722167367,15.529142706151244,103.62819225098511,0.0
192,MIH119_1193,27,8,1,PHN11_PHW65_0101/PHT69,PHN11_PHW65_0101/PHT69,WIPV17/30807,1.0,70,67.0,38.0,59.0,21.0,0.03103789374733913,2.035318642015096,-0.0015045044413023137,2.9429823579183108,36.32402704421384,62.95940559265586,46.492634462796595,22.915349602819802,100.58895286622113,0.0
193,MIH119_1194,28,8,1,PHN11_PHW65_0103/PHT69,PHN11_PHW65_0103/PHT69,WIPV17/30808,1.0,50,40.0,30.0,55.0,24.0,0.6477967167783182,1.2967499360233976,-2.3467124278224034,1.9517828984852001,27.500000000000007,30.64177772475912,47.63139720814412,25.71150438746157,77.70350899579859,0.0
194,MIH119_1195,29,8,1,PHN11_PHW65_0105/PHT69,PHN11_PHW65_0105/PHT69,WIPV17/30209,1.0,75,66.0,52.0,66.0,22.0,0.00014873529089151776,3.1679667069812836,-0.612590513418002,1.4815052708909378,52.00870973804365,63.75110453507851,40.63365737149345,17.082056976766367,98.72308699475612,0.0
195,MIH119_1196,30,8,1,PHN11_PHW65_0106/PHT69,PHN11_PHW65_0118/PHT69,WIPV17/30817,,70,63.0,50.0,75.0,23.0,0.0005542212853719169,2.807595520592027,-12.952071296139733,1.2936952946951206,57.45333323392335,59.200635109512234,48.209070726490445,21.54726902951713,107.76847896775737,0.0
196,MIH119_1197,30,9,1,PHN11_PHW65_0107/PHT69,PHN11_PHW65_0110/PHT69,WIPV17/30813,,70,62.0,47.0,64.0,26.0,0.009278738412735533,2.1986816857530407,-0.6811395295763174,1.433317040939087,46.80663690362691,58.26094248872632,43.6478950439999,21.20524888619146,93.02109091486784,0.0
198,MIH119_1199,28,9,1,PHN11_PHW65_0107/PHT69,PHN11_PHW65_0107/PHT69,WIPV17/30211,1.0,80,48.0,40.0,59.0,20.0,0.010352695352626017,2.305407289332278,-1.247075115161726,1.515165982692875,37.924468971505824,47.27077214458598,45.196622144019706,8.335112528012656,101.03569296059024,0.0
199,MIH119_1200,27,9,1,PHN11_PHW65_0114/PHT69,PHN11_PHW65_0114/PHT69,WIPV17/30815,1.0,60,61.0,40.0,69.0,22.0,0.020077676706058943,2.0768444658333474,-1.1334526794548156,1.395260639284935,44.352345068371214,52.82754963085076,52.85706657520948,30.499999999999996,96.61556113000896,0.0
200,MIH119_1201,26,9,1,PHN11_PHW65_0117/PHT69,PHN11_PHW65_0117/PHT69,WIPV17/30816,1.0,75,60.0,46.0,65.0,26.0,0.012863082360927874,2.123151780436619,-1.3307057880243733,1.2844166709179687,46.75708702201233,57.9555495773441,45.15279407983482,15.529142706151244,100.16877169222514,0.0
201,MIH119_1202,25,9,1,PHN11_PHW65_0119/PHT69,PHN11_PHW65_0136/PHT69,WIPV17/30823,,35,56.0,30.0,78.0,18.0,0.10056810735092886,1.7769014186686118,0.0,0.0,39.00000000000001,32.120280435658586,67.54998149518622,45.87251448018354,140.680046554049,1.0
